"","School","State","School.Type","Total.Disbursements","Year"
"1","ALASKA PACIFIC UNIVERSITY","AK","Private-Nonprofit",654319,"1011"
"2","UNIVERSITY OF ALASKA FAIRBANKS","AK","Public",7426651,"1011"
"3","UNIVERSITY OF ALASKA SOUTHEAST","AK","Public",1917667,"1011"
"4","ALASKA BIBLE COLLEGE","AK","Private-Nonprofit",45095,"1011"
"5","UNIVERSITY OF ALASKA ANCHORAGE","AK","Public",16041501.4,"1011"
"6","ALASKA CAREER COLLEGE","AK","Proprietary",1850704.59,"1011"
"7","CHARTER COLLEGE","AK","Proprietary",13167487,"1011"
"8","AVTEC - ALASKA'S INSTITUTE OF TECHNOLOGY","AK","Public",430538,"1011"
"9","ILISAGVIK COLLEGE","AK","Public",133582,"1011"
"10","ALASKA CHRISTIAN COLLEGE","AK","Private-Nonprofit",178277.75,"1011"
"11","ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY","AL","Public",17050099.76,"1011"
"12","FAULKNER UNIVERSITY","AL","Private-Nonprofit",9255871,"1011"
"13","UNIVERSITY OF MONTEVALLO","AL","Public",4978819,"1011"
"14","ALABAMA STATE UNIVERSITY","AL","Public",20258404,"1011"
"15","CENTRAL ALABAMA COMMUNITY COLLEGE","AL","Public",7872946.76,"1011"
"16","ATHENS STATE UNIVERSITY","AL","Public",6939567,"1011"
"17","AUBURN UNIVERSITY","AL","Public",17862979,"1011"
"18","BIRMINGHAM SOUTHERN COLLEGE","AL","Private-Nonprofit",1664445.5,"1011"
"19","CALHOUN COMMUNITY COLLEGE","AL","Public",22143889.1,"1011"
"20","ENTERPRISE STATE COMMUNITY COLLEGE","AL","Public",7895839.89,"1011"
"21","UNIVERSITY OF NORTH ALABAMA","AL","Public",10530788,"1011"
"22","GADSDEN STATE COMMUNITY COLLEGE","AL","Public",22133849.73,"1011"
"23","GEORGE C. WALLACE COMMUNITY COLLEGE","AL","Public",14556020.16,"1011"
"24","HUNTINGDON COLLEGE","AL","Private-Nonprofit",2135108,"1011"
"25","JACKSONVILLE STATE UNIVERSITY","AL","Public",18025272,"1011"
"26","JEFFERSON DAVIS COMMUNITY COLLEGE","AL","Public",3674567.48,"1011"
"27","JEFFERSON STATE COMMUNITY COLLEGE","AL","Public",14083980,"1011"
"28","JUDSON COLLEGE","AL","Private-Nonprofit",689992.47,"1011"
"29","UNIVERSITY OF WEST ALABAMA","AL","Public",6557465.75,"1011"
"30","MARION MILITARY INSTITUTE","AL","Public",990959.23,"1011"
"31","MILES COLLEGE","AL","Private-Nonprofit",7465089.68,"1011"
"32","UNIVERSITY OF MOBILE","AL","Private-Nonprofit",3316581,"1011"
"33","BISHOP STATE COMMUNITY COLLEGE - MAIN CAMPUS","AL","Public",12327867.35,"1011"
"34","NORTHEAST ALABAMA COMMUNITY COLLEGE","AL","Public",12077694.37,"1011"
"35","OAKWOOD UNIVERSITY","AL","Private-Nonprofit",4067582,"1011"
"36","ALABAMA SOUTHERN COMMUNITY COLLEGE","AL","Public",5310004.63,"1011"
